"Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:53IRnAWx13PYmoVYtemUBS","Femininomenon","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","219710","76","True","pop","Chappell Roan PS/ Island","0.609","0.758","0","-4.885","0","0.0525","0.139","5.38E-6","0.11","0.236","124.949","4"
"spotify:track:7FOgcfdz9Nx5V9lCNXdBYv","Red Wine Supernova","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","192720","80","True","pop","Chappell Roan PS/ Island","0.657","0.82","9","-4.448","1","0.0441","0.0176","0","0.0847","0.709","124.041","4"
"spotify:track:4rlQza35DE4Prh5yonxnCs","After Midnight","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","204857","67","False","pop","Chappell Roan PS/ Island","0.708","0.891","0","-3.826","1","0.0777","0.0248","0","0.0578","0.84","110.058","4"
"spotify:track:6GdUMm5xMw9hJckIc0qsGb","Coffee","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","205520","63","False","pop","Chappell Roan PS/ Island","0.434","0.219","2","-10.2","1","0.0301","0.948","0","0.0851","0.234","82.602","4"
"spotify:track:3WSOUb3U7tqURbBSgZTrZX","Casual","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","232796","82","True","pop","Chappell Roan PS/ Island","0.508","0.411","1","-6.95","1","0.0269","0.226","0","0.0571","0.34","131.008","4"
"spotify:track:1rNSCrsOoWyhKH4g47mehU","Super Graphic Ultra Modern Girl","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","183888","68","False","pop","Chappell Roan PS/ Island","0.646","0.905","1","-4.526","1","0.0695","0.0321","7.93E-6","0.23","0.787","125.891","4"
"spotify:track:4xdBrk0nFZaP54vvZj0yx7","HOT TO GO!","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","184841","77","False","pop","Chappell Roan PS/ Island","0.742","0.757","6","-4.981","1","0.0421","0.0187","0","0.305","0.957","139.982","4"
"spotify:track:32fSZSbxeVoiZShMQKLc6Z","My Kink Is Karma","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","222578","69","False","pop","Chappell Roan PS/ Island","0.555","0.599","2","-5.695","1","0.052","0.00925","0","0.102","0.415","86.727","4"
"spotify:track:5KtvumPgVZmt8wg9xONE0T","Picture You","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","187130","69","False","pop","Chappell Roan PS/ Island","0.354","0.468","4","-5.415","1","0.0334","0.4","0","0.138","0.281","160.586","3"
"spotify:track:4ROYC4vHfPZ28mqz0eLrzL","Kaleidoscope","The Rise and Fall of a Midwest Princess","Chappell Roan","2023-09-22","222650","63","False","pop","Chappell Roan PS/ Island","0.413","0.258","11","-7.257","1","0.0302","0.897","0","0.0801","0.289","136.271","4"
