Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:68lbSrXDORS51pmyjZv712,"SWIM","ARIRANG","BTS",2026-03-20,159007,98,false,Antonella,2026-05-21T15:10:21Z,"k-pop","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
spotify:track:3J8uUvHttFs8zlYxoiPVe3,"VELOCIDADE","DUAL","SANTOS BRAVOS",2026-03-13,133746,76,false,Antonella,2026-05-21T15:11:36Z,"","Republic Records - SANTOS BRAVOS",0.849,0.824,1,-5.029,1,0.0778,0.0647,0.000117,0.106,0.856,123.01,4
spotify:track:170rMcJktySvm1YG7dC7mR,"The Show","The Show","DPR IAN",2026-04-03,167000,69,false,Antonella,2026-05-21T15:11:53Z,"k-rap","DREAM PERFECT REGIME (DPR)",0.771,0.488,2,-8.737,1,0.0469,0.241,0.000141,0.097,0.597,120.003,4
spotify:track:4lpvCG7eNzHAXwvMxWUNjz,"No Blueberries","Moodswings In This Order","DPR IAN;DPR LIVE;CL",2021-03-11,185106,61,false,Antonella,2026-05-21T15:12:09Z,"k-rap,k-pop","DREAM PERFECT REGIME (DPR)",0.721,0.617,4,-6.178,0,0.0386,0.507,0,0.252,0.902,148.032,4
spotify:track:4vJfBno2d0mTjMcYn5lEln,"Ballroom Extravaganza","Moodswings In To Order","DPR IAN",2022-07-29,189946,61,false,Antonella,2026-05-21T15:12:12Z,"k-rap","DREAM PERFECT REGIME (DPR)",0.513,0.772,5,-5.789,1,0.0352,0.112,0.00081,0.121,0.409,145.084,4
spotify:track:2qwplOI7upNGwg2mLVrraw,"Nerves","Moodswings In This Order","DPR IAN",2021-03-11,195013,61,false,Antonella,2026-05-21T15:12:16Z,"k-rap","DREAM PERFECT REGIME (DPR)",0.627,0.662,11,-4.773,0,0.035,0.264,0,0.115,0.321,140.007,4
spotify:track:7uoFMmxln0GPXQ0AcCBXRq,"Snowman","Everyday Is Christmas (Deluxe Edition)","Sia",2018-11-01,165900,76,false,Antonella,2026-05-21T15:12:25Z,"","Monkey Puzzle/Atlantic",0.717,0.524,1,-6.222,1,0.0331,0.426,0,0.0932,0.339,104.953,3
spotify:track:3RIDQ0NiYcV896kb0mWz3k,"UFO","Inside Out","Gemini;Seori",2021-11-24,199986,53,false,Antonella,2026-05-21T15:12:45Z,"k-rap","Genie Music Corporation, Stone Music Entertainment",0.625,0.676,6,-5.859,1,0.079,0.065,0,0.157,0.782,95.928,4
spotify:track:76RVMGUn5zpjDcLETRDgeJ,"CALONE","CALONE","Tiffany Day",2021-06-04,176516,47,true,Antonella,2026-05-21T15:12:52Z,"hyperpop","Tiffany Day",0.942,0.509,6,-6.918,0,0.155,0.157,0.000015,0.0822,0.91,141.97,4
spotify:track:6aJn7Cst74cj4lNIiPRgav,"Touch","Touch","KATSEYE",2024-07-26,129882,87,false,Antonella,2026-05-21T15:12:58Z,"k-pop","HYBE/Geffen",0.739,0.904,5,-2.655,0,0.0442,0.549,0.0000103,0.0948,0.788,167.033,4
spotify:track:4cgjA7B4fJBHyB9Ya2bu0t,"Human Nature","Thriller","Michael Jackson",1982-11-30,245837,92,false,Antonella,2026-05-21T15:13:04Z,"","Epic",0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005,4
spotify:track:6AtZLIzUINvExIUy4QhdjP,"I Knew You Were Trouble (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,219760,72,false,Antonella,2026-05-21T15:13:12Z,"","Taylor Swift",0.584,0.557,6,-6.371,1,0.0342,0.0129,0,0.0576,0.767,154.008,4
spotify:track:2ekn2ttSfGqwhhate0LSR0,"New Rules","Dua Lipa (Deluxe)","Dua Lipa",2017-06-02,209320,79,false,Antonella,2026-05-21T15:13:18Z,"pop","Warner Records",0.762,0.7,9,-6.021,0,0.0694,0.00261,0.0000156,0.153,0.608,116.073,4
spotify:track:4KGGeE7RJsgLNZmnxGFlOj,"Falling Behind","Everything I Know About Love","Laufey",2022-08-26,173640,83,false,Antonella,2026-05-21T15:13:29Z,"","Laufey",0.449,0.353,7,-12.986,1,0.0915,0.942,0.0786,0.109,0.55,165.888,4
spotify:track:5BaWu0bYT7XPaIYyXJOZvJ,"Tu Misterioso Alguien","Miranda Es Imposible!","Miranda!",2009-07-25,244800,73,false,Antonella,2026-05-21T15:13:35Z,"pop latino","Pelo Music S.A.",0.665,0.785,5,-5.584,1,0.025,0.0329,0.000119,0.173,0.676,115.993,4
