Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0fQbLONJQqFSePMz1I4UNT,Cabildo y Juramento,Cabildo y Juramento,Conociendo Rusia,2019-10-04,203826,57,false,JulietaS,2026-05-21T15:04:32Z,"indie, latino, rock",Geiser Discos,0.714,0.52,7,-5.625,0,0.0367,0.264,0.00000264,0.344,0.541,129.911,4
spotify:track:3QsmZtbdKo05hK6VVAjUXd,Duele,NAFTA II,NAFTA,2023-07-28,207000,56,false,JulietaS,2026-05-21T15:04:39Z,"indie, latino, rock",NAFTA 2023,0.685,0.467,10,-9.088,1,0.0455,0.558,0.00153,0.0997,0.68,144.79,4
spotify:track:2YiqBesMJpszYU6raDOG0R,Hielo,Aztlán,Zoé,2018-04-18,302840,69,false,JulietaS,2026-05-21T15:04:47Z,"indie, latino, rock",Universal Music Mexico,0.551,0.73,7,-7.69,0,0.0274,0.282,0.923,0.148,0.673,126.965,4
spotify:track:67AG59ltjS8JSqAUTWTJgu,Superstar,Pura Casualidad,El Zar,2020-11-27,182217,56,false,JulietaS,2026-05-21T15:04:55Z,"indie, latino",Independent,0.697,0.74,9,-5.995,1,0.0322,0.762,0.00233,0.142,0.753,115.027,4
spotify:track:44W7bta54sWjSkuj1NyT0c,Jullie,Indios,Indios,2013-10-07,214213,53,false,JulietaS,2026-05-21T15:05:02Z,"indie, latino, rock",Pop Art,0.6,0.639,0,-8.735,1,0.0277,0.0666,0,0.103,0.434,125.011,4
spotify:track:54JWFISolUGIbtNeANGp2B,Ganas,Mi Primer Día Triste,Zoe Gotusso,2020-12-04,254224,56,false,JulietaS,2026-05-21T15:05:12Z,"indie, latino, rock",Columbia,0.643,0.575,1,-8.758,0,0.0499,0.474,0,0.284,0.721,75.986,4
spotify:track:5C9IeDOtfwkDUGd9aF2ELI,A la Vez,A la Vez,Conociendo Rusia,2020-12-04,182876,57,false,JulietaS,2026-05-21T15:05:18Z,"indie, latino, rock",Geiser Discos,0.672,0.875,1,-5.398,0,0.04,0.0126,0.0000338,0.135,0.856,114.924,4
spotify:track:5B8vG9e3BjEo9uyGG7NQfl,Agua Marfil,Usted Señalemelo,Usted Señalemelo,2015-03-15,251854,56,false,JulietaS,2026-05-21T15:05:26Z,"indie, latino, rock",Usted Señalemelo,0.561,0.28,1,-10.021,0,0.029,0.879,0.000358,0.106,0.0749,134.732,4
spotify:track:5oxGnXpTRvlcNXiT5BbpHz,El Riesgo,Devorando Intensidad,El Plan De La Mariposa,2017-06-30,268998,66,false,JulietaS,2026-05-21T15:05:32Z,"rock, latino",Savia Records,0.562,0.655,11,-9.777,0,0.0269,0.0154,0.0217,0.133,0.484,136.021,4
spotify:track:2kKDMlOpLR5NsTuOdTyukm,Diamante Roto,Súper Terror,El Mató a un Policía Motorizado,2023-07-07,181766,55,false,JulietaS,2026-05-21T15:05:48Z,"indie, latino, rock",El Mató a un Policía Motorizado,0.572,0.632,9,-11.575,1,0.0333,0.0323,0.0161,0.0947,0.672,156.97,4
spotify:track:09QfIIP4NUx4A3thmovb2o,Perfecta,El Templo del Pop,Miranda!,2008-04-01,225413,80,true,JulietaS,2026-05-21T15:05:56Z,"pop, latino",Pelo Music S.A.,0.648,0.727,0,-5.45,1,0.0361,0.178,0,0.335,0.839,169.941,4
spotify:track:5BaWu0bYT7XPaIYyXJOZvJ,Tu Misterioso Alguien,Miranda Es Imposible!,Miranda!,2009-07-25,244800,73,false,JulietaS,2026-05-21T15:06:02Z,"pop, latino",Pelo Music S.A.,0.665,0.785,5,-5.584,1,0.025,0.0329,0.000119,0.173,0.676,115.993,4
spotify:track:4foIsT0s9Ime0OPxTpl6N6,Ella Dice,TINI TINI TINI,TINI;KHEA,2020-12-03,161060,56,false,JulietaS,2026-05-21T15:06:12Z,"pop, latino, rap",5020 Records,0.838,0.751,5,-2.864,0,0.0812,0.221,0.00000223,0.133,0.706,91.982,4
spotify:track:2X485T9Z5Ly0xyaghN73ed,Let It Happen,Currents,Tame Impala,2015-07-17,467586,87,false,JulietaS,2026-05-21T15:06:21Z,indie,Universal Music Australia Pty. Ltd.,0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
spotify:track:1DcZiy6gWQOG2IhhM6HBui,Mi Fiesta,El Big Blue,Bandalos Chinos,2022-05-06,192880,64,false,JulietaS,2026-05-21T15:07:06Z,"indie, latino",Bandalos Chinos,0.785,0.584,9,-8.589,0,0.0316,0.234,0.000465,0.0545,0.893,104.602,4
spotify:track:5g7Qylrck8rh2lUgEWPQVS,Standing On The Shore,Walking On A Dream (10th Anniversary Edition),Empire Of The Sun,2008-10-03,264880,68,false,JulietaB,2026-05-21T15:08:36Z,rock,EMI Recorded Music Australia Pty Ltd,0.586,0.882,11,-5.209,0,0.0353,0.00821,0.0106,0.375,0.27,127.993,4
spotify:track:5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,Walking On A Dream (10th Anniversary Edition),Empire Of The Sun,2008-10-03,198440,89,false,JulietaB,2026-05-21T15:08:42Z,rock,EMI Recorded Music Australia Pty Ltd,0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,Music On The Radio,Ask That God,Empire Of The Sun,2024-07-26,176196,63,false,JulietaB,2026-05-21T15:09:03Z,rock,EMI Recorded Music Australia Pty Ltd,0.766,0.817,10,-3.063,0,0.0649,0.118,0.0000276,0.135,0.831,115.963,4
spotify:track:4ZMrs7Zg8PJfAQjxFzzKPq,Ode to the Bouncer,Studio Killers (Special Edition),Studio Killers,2020-12-14,207162,47,false,JulietaB,2026-05-21T15:09:17Z,rock,Studio Killers Records,0.638,0.973,11,-3.345,1,0.0529,0.0468,0.000303,0.0708,0.864,122.998,4
spotify:track:5QCfOMH5K7bS4dH7H7PNeI,Tonight,Fancy That,PinkPantheress,2025-05-09,174880,77,false,JulietaB,2026-05-21T15:09:23Z,pop,Warner Records,0.726,0.919,10,-4.441,0,0.0894,0.0128,0.00143,0.25,0.84,141.419,4
spotify:track:2X485T9Z5Ly0xyaghN73ed,Let It Happen,Currents,Tame Impala,2015-07-17,467586,87,false,JulietaB,2026-05-21T15:09:30Z,indie,Universal Music Australia Pty. Ltd.,0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
spotify:track:1UNEuG9DYOWiikf00ayr52,Love Me Not,Love Me Not / Love Is Blind,Ravyn Lenae,2024-05-03,213466,88,false,JulietaB,2026-05-21T15:09:39Z,"R&B, indie",Atlantic Records,0.786,0.741,0,-6.147,1,0.0309,0.293,0,0.132,0.816,113.98,4
spotify:track:7w6PJe5KBPyvuRYxFkPssC,No More Tears,No More Tears (Expanded Edition),Ozzy Osbourne,1991-09-17,444983,80,false,JulietaB,2026-05-21T15:09:44Z,"metal, rock",Epic,0.346,0.749,6,-6.506,1,0.035,0.00167,0.0000886,0.648,0.315,102.591,4
spotify:track:6QyWVCLASvvtpKD0KJZs5e,Is This Love - 2018 Remaster,Whitesnake (2018 Remaster),Whitesnake,1987-03-23,284496,78,false,JulietaB,2026-05-21T15:09:50Z,"metal, rock",Craft Recordings,0.44,0.752,0,-7.823,1,0.0331,0.0505,0,0.222,0.439,89.907,4
spotify:track:7B3BwNecBhKvNwSMOOl7Gk,Fame is a Gun,Addison,Addison Rae,2025-06-06,183237,88,false,JulietaB,2026-05-21T15:09:56Z,pop,Columbia,0.692,0.399,3,-7.325,0,0.035,0.165,0.00109,0.1,0.411,137.976,4
spotify:track:1xOqGUkyxGQRdCvGpvWKmL,Gabriela,Gabriela,KATSEYE,2025-06-20,197226,91,false,JulietaB,2026-05-21T15:10:01Z,pop,HYBE/Geffen,0.653,0.754,7,-4.579,1,0.0692,0.184,0,0.369,0.623,145.884,4
spotify:track:1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,Taylor Swift,2019-08-23,221306,85,false,JulietaB,2026-05-21T15:10:06Z,pop,Taylor Swift,0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
spotify:track:6dWilYAxP2aJbTTt0UsatK,Lover Girl,Lover Girl,Laufey,2025-06-25,164400,77,false,JulietaB,2026-05-21T15:10:11Z,jazz,Vingolf Recordings,0.658,0.447,11,-7.225,1,0.155,0.836,0,0.0752,0.899,87.907,4
spotify:track:42VUCXerQ5qTr4Qp6PhKo4,Tears,Man’s Best Friend,Sabrina Carpenter,2025-08-29,160183,88,false,JulietaB,2026-05-21T15:10:16Z,pop,Island Records,0.699,0.876,0,-4.855,1,0.0514,0.0204,0.000105,0.0307,0.485,113.036,4
spotify:track:68lbSrXDORS51pmyjZv712,SWIM,ARIRANG,BTS,2026-03-20,159007,98,false,JulietaB,2026-05-21T15:10:21Z,pop,BIGHIT MUSIC,0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
spotify:track:5C9IeDOtfwkDUGd9aF2ELI,A la Vez,A la Vez,Conociendo Rusia,2020-12-04,182876,57,false,Guillermina,2026-05-21T15:17:29Z,"indie, latino, rock",Geiser Discos,0.672,0.875,1,-5.398,0,0.04,0.0126,0.0000338,0.135,0.856,114.924,4
spotify:track:6ouhsRJ7gExB7LCYjITk4Y,Diet Pepsi,Addison,Addison Rae,2025-06-06,169697,80,false,Guillermina,2026-05-21T15:17:34Z,pop,Columbia,0.668,0.56,10,-6.54,1,0.0416,0.499,0.00661,0.0953,0.82,150.066,4
spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-22,192720,80,true,Guillermina,2026-05-21T15:17:41Z,pop,Chappell Roan PS/ Island,0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041,4
spotify:track:4kDznaCYUIVf3O2k0C2Hy3,Never Fly Away,Maybe Happy Ending (Original Broadway Cast Recording),Darren Criss;Helen J Shen;Will Aronson;Hue Park,2025-03-14,160268,41,false,Guillermina,2026-05-21T15:17:46Z,musicales,Ghostlight Records/Rhino,0.525,0.169,5,-13.899,1,0.0353,0.783,0.00000316,0.63,0.218,119.62,3
spotify:track:05QGaQnoBuda27vXxpuiRU,Unknown / Nth,Unreal Unearth,Hozier,2023-08-18,280106,63,false,Guillermina,2026-05-21T15:17:50Z,indie,Rubyworks / Universal-Island Records Ltd,0.479,0.178,2,-9.98,1,0.0382,0.76,0.000168,0.0897,0.21,134.856,4
spotify:track:2flrBZ6lxgk68ghaWBAfnt,MEJOR QUE VOS,MEJOR QUE VOS,Lali;Miranda!,2025-02-07,166794,56,false,Guillermina,2026-05-21T15:17:56Z,"pop, latino",Sony Music Argentina,0.649,0.832,11,-4.456,0,0.0293,0.00225,0.00000175,0.453,0.76,123.964,4
spotify:track:4v2rkl1mC3zVAz0nXMx9r4,Heart Of Glass,Parallel Lines,Blondie,1978-09-23,229423,78,false,Guillermina,2026-05-21T15:18:04Z,rock,Chrysalis\EMI Records (USA),0.77,0.654,4,-6.107,1,0.0361,0.0548,0.000498,0.0819,0.686,114.82,4
spotify:track:3yWuTOYDztXjZxdE2cIRUa,Opalite,The Life of a Showgirl,Taylor Swift,2025-10-03,235355,91,false,Guillermina,2026-05-21T15:18:09Z,pop,Taylor Swift,0.806,0.819,4,-5.033,0,0.0384,0.0784,0,0.0371,0.802,124.994,4
spotify:track:2SsY5k7UWFqgye3PUMG3Oq,The Subway,The Subway,Chappell Roan,2025-08-01,252276,82,true,Guillermina,2026-05-21T15:18:13Z,pop,Chappell Roan PS/ Island,0.31,0.608,10,-6.225,1,0.0328,0.426,0,0.186,0.503,166.337,4
spotify:track:5kcuHw8WtxauIWI5crMcLM,Tornado Warnings,emails i can't send,Sabrina Carpenter,2022-07-15,204179,68,true,Guillermina,2026-05-21T15:18:20Z,pop,Island Records,0.7,0.571,3,-7.713,1,0.0591,0.171,0,0.0938,0.579,115.036,4
spotify:track:5c9tBmJKbTdn1vhzXHeAwW,Sympathy is a knife,BRAT,Charli xcx,2024-06-07,151125,71,true,Guillermina,2026-05-21T15:18:26Z,pop,Atlantic Records,0.718,0.706,7,-5.596,0,0.0587,0.0539,0,0.41,0.58,131.943,4
spotify:track:0UqHzMvRQnaOXEPKgFVhxN,Madwoman,A Matter of Time: The Final Hour,Laufey,2026-04-10,239333,79,false,Guillermina,2026-05-21T15:18:30Z,indie,Vingolf Recordings,0.333,0.528,9,-7.974,0,0.0336,0.539,0.0064,0.19,0.456,86.867,3
