Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3oNnzH6hmqIGIhJ1NcHlrh,"CORAZÓN VACÍO","CORAZÓN VACÍO","Maria Becerra",2023-06-22,160535,64,false,Camila,2026-05-21T23:49:21Z,"trap argentino","WEA Latina",0.681,0.792,1,-4.795,1,0.0587,0.334,0.00000205,0.295,0.4,98.09,4
spotify:track:7CSmXJNeArnwDfUmtP4Gve,"8 AM","8 AM","Nicki Nicole;Young Miko",2023-05-17,147603,56,true,Camila,2026-05-21T23:49:30Z,"trap argentino,trap latino","Sony Music Latin/DALE PLAY Records",0.678,0.44,11,-7.57,0,0.281,0.301,0.00000178,0.113,0.314,94.033,4
spotify:track:4foIsT0s9Ime0OPxTpl6N6,"Ella Dice","TINI TINI TINI","TINI;KHEA",2020-12-03,161060,56,false,Camila,2026-05-21T23:49:38Z,"pop latino,trap argentino,trap,trap latino","5020 Records",0.838,0.751,5,-2.864,0,0.0812,0.221,0.00000223,0.133,0.706,91.982,4
spotify:track:0B8yu7yLe1UsXv6gewHRv2,"Pintao","Desde el Fin del Mundo","Duki;YSY A;Rei",2021-04-22,167340,65,false,Camila,2026-05-21T23:49:51Z,"trap argentino,trap,trap latino,rkt,turreo","SSJ Records / DALE PLAY Records",0.735,0.797,2,-5.328,1,0.0638,0.143,0,0.0823,0.471,105.765,3
spotify:track:46xx1V1UK5085ekWgIntp8,"Hijo de la Noche","Hijo de la Noche","Duki;C.R.O;YSY A",2018-04-20,206884,63,true,Camila,2026-05-21T23:50:04Z,"trap argentino,trap,trap latino","DALE PLAY Records",0.699,0.821,4,-4.161,0,0.035,0.193,0,0.258,0.324,129.975,4
spotify:track:1BOLgpXolZEcIaCEIuFhPM,"Flow 2000","Flow 2000","Bad Gyal",2021-10-14,155213,60,false,Camila,2026-05-21T23:50:11Z,"neoperreo","Bad Gyal Aftercluv/Interscope",0.844,0.802,6,-3.781,0,0.0622,0.0249,0,0.184,0.372,95.13,4
spotify:track:4PJ3umtW1aWdfh5EITHc6T,"Te Robaré","Intimo","Nicky Jam;Ozuna",2019-11-01,201818,69,false,Camila,2026-05-21T23:51:04Z,"reggaetón,Música latina,trap latino,urbano latino","Sony Music Latin",0.673,0.752,2,-3.572,0,0.0561,0.241,0.0000451,0.0813,0.797,175.997,4
spotify:track:0JOUrhZGMCx3lk9VosAQWl,"El Desorden","El Desorden","Ozuna;Daddy Yankee;Plan B",2017-11-17,190243,63,false,Camila,2026-05-21T23:51:13Z,"reggaetón,trap latino,Música latina,urbano latino","Pina Records",0.838,0.81,9,-3.175,0,0.0891,0.22,0.0000131,0.0817,0.889,164.04,4
spotify:track:7vNt6L1pQRjPPEvb03jpyt,"Un Bellaqueo","Un Bellaqueo","Ozuna;Pusho;Alexio;Juanka",2016-06-22,218592,63,true,Camila,2026-05-21T23:51:20Z,"reggaetón,trap latino,Música latina,urbano latino,reggaeton chileno","Rimas Entertainment LLC",0.895,0.789,5,-3.802,0,0.0895,0.3,0.0000086,0.158,0.96,88.004,4
spotify:track:0ug5NqcwcFR2xrfTkc7k8e,"Style","1989 (Deluxe)","Taylor Swift",2014-01-01,231000,86,false,Camila,2026-05-21T23:55:44Z,"","Taylor Swift",0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,4
spotify:track:5RPdXtlqeRK4Qtgkix042H,"Fantasmas","Safari","Miranda!",2014-05-05,214621,58,false,Camila,2026-05-21T23:55:53Z,"pop latino","Pelo Music S.A.",0.691,0.843,2,-4.409,1,0.0389,0.038,0.0062,0.0557,0.485,126.001,4
spotify:track:017PF4Q3l4DBUiWoXk4OWT,"Break My Heart","Future Nostalgia","Dua Lipa",2020-03-27,221820,82,false,Camila,2026-05-22T00:04:00Z,"pop","Warner Records",0.73,0.729,4,-3.434,0,0.0884,0.167,0.00000139,0.349,0.467,113.011,4
spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,"Blank Space","1989 (Deluxe)","Taylor Swift",2014-01-01,231826,86,false,Camila,2026-05-22T00:04:07Z,"","Taylor Swift",0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4
spotify:track:5N3hjp1WNayUPZrA8kJmJP,"Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,186365,80,true,Camila,2026-05-22T00:04:13Z,"pop","Island Records",0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
