Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5C9IeDOtfwkDUGd9aF2ELI,"A la Vez","A la Vez","Conociendo Rusia",2020-12-04,182876,57,false,Guillermina,2026-05-21T15:17:29Z,"indie latino,rock argentino","Geiser Discos",0.672,0.875,1,-5.398,0,0.04,0.0126,0.0000338,0.135,0.856,114.924,4
spotify:track:6ouhsRJ7gExB7LCYjITk4Y,"Diet Pepsi","Addison","Addison Rae",2025-06-06,169697,80,false,Guillermina,2026-05-21T15:17:34Z,"","Columbia",0.668,0.56,10,-6.54,1,0.0416,0.499,0.00661,0.0953,0.82,150.066,4
spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,"Red Wine Supernova","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,192720,80,true,Guillermina,2026-05-21T15:17:41Z,"","Chappell Roan PS/ Island",0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041,4
spotify:track:4kDznaCYUIVf3O2k0C2Hy3,"Never Fly Away","Maybe Happy Ending (Original Broadway Cast Recording)","Darren Criss;Helen J Shen;Will Aronson;Hue Park",2025-03-14,160268,41,false,Guillermina,2026-05-21T15:17:46Z,"musicales","Ghostlight Records/Rhino",0.525,0.169,5,-13.899,1,0.0353,0.783,0.00000316,0.63,0.218,119.62,3
spotify:track:05QGaQnoBuda27vXxpuiRU,"Unknown / Nth","Unreal Unearth","Hozier",2023-08-18,280106,63,false,Guillermina,2026-05-21T15:17:50Z,"","Rubyworks / Universal-Island Records Ltd",0.479,0.178,2,-9.98,1,0.0382,0.76,0.000168,0.0897,0.21,134.856,4
spotify:track:2flrBZ6lxgk68ghaWBAfnt,"MEJOR QUE VOS","MEJOR QUE VOS","Lali;Miranda!",2025-02-07,166794,56,false,Guillermina,2026-05-21T15:17:56Z,"pop latino","Sony Music Argentina",0.649,0.832,11,-4.456,0,0.0293,0.00225,0.00000175,0.453,0.76,123.964,4
spotify:track:4v2rkl1mC3zVAz0nXMx9r4,"Heart Of Glass","Parallel Lines","Blondie",1978-09-23,229423,78,false,Guillermina,2026-05-21T15:18:04Z,"","Chrysalis\EMI Records (USA)",0.77,0.654,4,-6.107,1,0.0361,0.0548,0.000498,0.0819,0.686,114.82,4
spotify:track:3yWuTOYDztXjZxdE2cIRUa,"Opalite","The Life of a Showgirl","Taylor Swift",2025-10-03,235355,91,false,Guillermina,2026-05-21T15:18:09Z,"","Taylor Swift",0.806,0.819,4,-5.033,0,0.0384,0.0784,0,0.0371,0.802,124.994,4
spotify:track:2SsY5k7UWFqgye3PUMG3Oq,"The Subway","The Subway","Chappell Roan",2025-08-01,252276,82,true,Guillermina,2026-05-21T15:18:13Z,"","Chappell Roan PS/ Island",0.31,0.608,10,-6.225,1,0.0328,0.426,0,0.186,0.503,166.337,4
spotify:track:5kcuHw8WtxauIWI5crMcLM,"Tornado Warnings","emails i can't send","Sabrina Carpenter",2022-07-15,204179,68,true,Guillermina,2026-05-21T15:18:20Z,"pop","Island Records",0.7,0.571,3,-7.713,1,0.0591,0.171,0,0.0938,0.579,115.036,4
spotify:track:5c9tBmJKbTdn1vhzXHeAwW,"Sympathy is a knife","BRAT","Charli xcx",2024-06-07,151125,71,true,Guillermina,2026-05-21T15:18:26Z,"hyperpop,art pop","Atlantic Records",0.718,0.706,7,-5.596,0,0.0587,0.0539,0,0.41,0.58,131.943,4
spotify:track:0UqHzMvRQnaOXEPKgFVhxN,"Madwoman","A Matter of Time: The Final Hour","Laufey",2026-04-10,239333,79,false,Guillermina,2026-05-21T15:18:30Z,"","Vingolf Recordings",0.333,0.528,9,-7.974,0,0.0336,0.539,0.0064,0.19,0.456,86.867,3
spotify:track:3qKtIqtLB8eyhQ9l1hmRH6,"Who’s Sorry Now","Who’s Sorry Now","Isa Briones;Original Broadway Cast of Just In Time",2026-05-04,175910,49,false,Guillermina,2026-05-21T15:18:42Z,"musicales","Atlantic Records",0.235,0.451,7,-5.932,0,0.0417,0.416,0,0.0916,0.239,193.286,4
spotify:track:22iFfneMU95dpTN8g0y1Rb,"Agnus Dei","From The Pyre","The Last Dinner Party",2025-10-17,333379,55,false,Guillermina,2026-05-21T15:18:50Z,"","Universal-Island Records Ltd.",0.609,0.793,5,-5.806,1,0.0309,0.0238,0.00000119,0.286,0.413,112.453,3
spotify:track:2x3mwb96B6TquRqMtbxUE1,"Actually Romantic","The Life of a Showgirl","Taylor Swift",2025-10-03,163699,79,true,Guillermina,2026-05-21T15:19:00Z,"","Taylor Swift",0.708,0.427,1,-7.804,0,0.169,0.497,0,0.103,0.718,169.949,4
