Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5g7Qylrck8rh2lUgEWPQVS,"Standing On The Shore","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,264880,68,false,JulietaB,2026-05-21T15:08:36Z,"","EMI Recorded Music Australia Pty Ltd",0.586,0.882,11,-5.209,0,0.0353,0.00821,0.0106,0.375,0.27,127.993,4
spotify:track:5r5cp9IpziiIsR6b93vcnQ,"Walking On A Dream","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,198440,89,false,JulietaB,2026-05-21T15:08:42Z,"","EMI Recorded Music Australia Pty Ltd",0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,"Music On The Radio","Ask That God","Empire Of The Sun",2024-07-26,176196,63,false,JulietaB,2026-05-21T15:09:03Z,"","EMI Recorded Music Australia Pty Ltd",0.766,0.817,10,-3.063,0,0.0649,0.118,0.0000276,0.135,0.831,115.963,4
spotify:track:4ZMrs7Zg8PJfAQjxFzzKPq,"Ode to the Bouncer","Studio Killers (Special Edition)","Studio Killers",2020-12-14,207162,47,false,JulietaB,2026-05-21T15:09:17Z,"","Studio Killers Records",0.638,0.973,11,-3.345,1,0.0529,0.0468,0.000303,0.0708,0.864,122.998,4
spotify:track:5QCfOMH5K7bS4dH7H7PNeI,"Tonight","Fancy That","PinkPantheress",2025-05-09,174880,77,false,JulietaB,2026-05-21T15:09:23Z,"bedroom pop","Warner Records",0.726,0.919,10,-4.441,0,0.0894,0.0128,0.00143,0.25,0.84,141.419,4
spotify:track:2X485T9Z5Ly0xyaghN73ed,"Let It Happen","Currents","Tame Impala",2015-07-17,467586,87,false,JulietaB,2026-05-21T15:09:30Z,"neopsicodélico,indie","Universal Music Australia Pty. Ltd.",0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
spotify:track:1UNEuG9DYOWiikf00ayr52,"Love Me Not","Love Me Not / Love Is Blind","Ravyn Lenae",2024-05-03,213466,88,false,JulietaB,2026-05-21T15:09:39Z,"R&B alternativo,indie soul","Atlantic Records",0.786,0.741,0,-6.147,1,0.0309,0.293,0,0.132,0.816,113.98,4
spotify:track:7w6PJe5KBPyvuRYxFkPssC,"No More Tears","No More Tears (Expanded Edition)","Ozzy Osbourne",1991-09-17,444983,80,false,JulietaB,2026-05-21T15:09:44Z,"metal,glam metal,heavy metal,rock pesado","Epic",0.346,0.749,6,-6.506,1,0.035,0.00167,0.0000886,0.648,0.315,102.591,4
spotify:track:6QyWVCLASvvtpKD0KJZs5e,"Is This Love - 2018 Remaster","Whitesnake (2018 Remaster)","Whitesnake",1987-03-23,284496,78,false,JulietaB,2026-05-21T15:09:50Z,"glam metal,glam rock,rock pesado","Craft Recordings",0.44,0.752,0,-7.823,1,0.0331,0.0505,0,0.222,0.439,89.907,4
spotify:track:7B3BwNecBhKvNwSMOOl7Gk,"Fame is a Gun","Addison","Addison Rae",2025-06-06,183237,88,false,JulietaB,2026-05-21T15:09:56Z,"","Columbia",0.692,0.399,3,-7.325,0,0.035,0.165,0.00109,0.1,0.411,137.976,4
spotify:track:1xOqGUkyxGQRdCvGpvWKmL,"Gabriela","Gabriela","KATSEYE",2025-06-20,197226,91,false,JulietaB,2026-05-21T15:10:01Z,"k-pop","HYBE/Geffen",0.653,0.754,7,-4.579,1,0.0692,0.184,0,0.369,0.623,145.884,4
spotify:track:1dGr1c8CrMLDpV6mPbImSI,"Lover","Lover","Taylor Swift",2019-08-23,221306,85,false,JulietaB,2026-05-21T15:10:06Z,"","Taylor Swift",0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
spotify:track:6dWilYAxP2aJbTTt0UsatK,"Lover Girl","Lover Girl","Laufey",2025-06-25,164400,77,false,JulietaB,2026-05-21T15:10:11Z,"","Vingolf Recordings",0.658,0.447,11,-7.225,1,0.155,0.836,0,0.0752,0.899,87.907,4
spotify:track:42VUCXerQ5qTr4Qp6PhKo4,"Tears","Man’s Best Friend","Sabrina Carpenter",2025-08-29,160183,88,false,JulietaB,2026-05-21T15:10:16Z,"pop","Island Records",0.699,0.876,0,-4.855,1,0.0514,0.0204,0.000105,0.0307,0.485,113.036,4
spotify:track:68lbSrXDORS51pmyjZv712,"SWIM","ARIRANG","BTS",2026-03-20,159007,98,false,JulietaB,2026-05-21T15:10:21Z,"k-pop","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
