Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0fQbLONJQqFSePMz1I4UNT,"Cabildo y Juramento","Cabildo y Juramento","Conociendo Rusia",2019-10-04,203826,57,false,JulietaS,2026-05-21T15:04:32Z,"indie latino,rock argentino","Geiser Discos",0.714,0.52,7,-5.625,0,0.0367,0.264,0.00000264,0.344,0.541,129.911,4
spotify:track:3QsmZtbdKo05hK6VVAjUXd,"Duele","NAFTA II","NAFTA",2023-07-28,207000,56,false,JulietaS,2026-05-21T15:04:39Z,"","NAFTA 2023",0.685,0.467,10,-9.088,1,0.0455,0.558,0.00153,0.0997,0.68,144.79,4
spotify:track:2YiqBesMJpszYU6raDOG0R,"Hielo","Aztlán","Zoé",2018-04-18,302840,69,false,JulietaS,2026-05-21T15:04:47Z,"rock en español,rock mexicano,indie mexicano,alternativa latina,indie latino,rock latino","Universal Music Mexico",0.551,0.73,7,-7.69,0,0.0274,0.282,0.923,0.148,0.673,126.965,4
spotify:track:67AG59ltjS8JSqAUTWTJgu,"Superstar","Pura Casualidad","El Zar",2020-11-27,182217,56,false,JulietaS,2026-05-21T15:04:55Z,"indie latino","Independent",0.697,0.74,9,-5.995,1,0.0322,0.762,0.00233,0.142,0.753,115.027,4
spotify:track:44W7bta54sWjSkuj1NyT0c,"Jullie","Indios","Indios",2013-10-07,214213,53,false,JulietaS,2026-05-21T15:05:02Z,"indie latino,rock argentino,rock latino","Pop Art",0.6,0.639,0,-8.735,1,0.0277,0.0666,0,0.103,0.434,125.011,4
spotify:track:54JWFISolUGIbtNeANGp2B,"Ganas","Mi Primer Día Triste","Zoe Gotusso",2020-12-04,254224,56,false,JulietaS,2026-05-21T15:05:12Z,"indie latino","Columbia",0.643,0.575,1,-8.758,0,0.0499,0.474,0,0.284,0.721,75.986,4
spotify:track:5C9IeDOtfwkDUGd9aF2ELI,"A la Vez","A la Vez","Conociendo Rusia",2020-12-04,182876,57,false,JulietaS,2026-05-21T15:05:18Z,"indie latino,rock argentino","Geiser Discos",0.672,0.875,1,-5.398,0,0.04,0.0126,0.0000338,0.135,0.856,114.924,4
spotify:track:5B8vG9e3BjEo9uyGG7NQfl,"Agua Marfil","Usted Señalemelo","Usted Señalemelo",2015-03-15,251854,56,false,JulietaS,2026-05-21T15:05:26Z,"indie latino,rock argentino","Usted Señalemelo",0.561,0.28,1,-10.021,0,0.029,0.879,0.000358,0.106,0.0749,134.732,4
spotify:track:5oxGnXpTRvlcNXiT5BbpHz,"El Riesgo","Devorando Intensidad","El Plan De La Mariposa",2017-06-30,268998,66,false,JulietaS,2026-05-21T15:05:32Z,"rock argentino","Savia Records",0.562,0.655,11,-9.777,0,0.0269,0.0154,0.0217,0.133,0.484,136.021,4
spotify:track:2kKDMlOpLR5NsTuOdTyukm,"Diamante Roto","Súper Terror","El Mató a un Policía Motorizado",2023-07-07,181766,55,false,JulietaS,2026-05-21T15:05:48Z,"rock argentino,indie latino,rock latino","El Mató a un Policía Motorizado",0.572,0.632,9,-11.575,1,0.0333,0.0323,0.0161,0.0947,0.672,156.97,4
spotify:track:09QfIIP4NUx4A3thmovb2o,"Perfecta","El Templo del Pop","Miranda!",2008-04-01,225413,80,true,JulietaS,2026-05-21T15:05:56Z,"pop latino","Pelo Music S.A.",0.648,0.727,0,-5.45,1,0.0361,0.178,0,0.335,0.839,169.941,4
spotify:track:5BaWu0bYT7XPaIYyXJOZvJ,"Tu Misterioso Alguien","Miranda Es Imposible!","Miranda!",2009-07-25,244800,73,false,JulietaS,2026-05-21T15:06:02Z,"pop latino","Pelo Music S.A.",0.665,0.785,5,-5.584,1,0.025,0.0329,0.000119,0.173,0.676,115.993,4
spotify:track:4foIsT0s9Ime0OPxTpl6N6,"Ella Dice","TINI TINI TINI","TINI;KHEA",2020-12-03,161060,56,false,JulietaS,2026-05-21T15:06:12Z,"pop latino,trap argentino,trap,trap latino","5020 Records",0.838,0.751,5,-2.864,0,0.0812,0.221,0.00000223,0.133,0.706,91.982,4
spotify:track:2X485T9Z5Ly0xyaghN73ed,"Let It Happen","Currents","Tame Impala",2015-07-17,467586,87,false,JulietaS,2026-05-21T15:06:21Z,"neopsicodélico,indie","Universal Music Australia Pty. Ltd.",0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
spotify:track:1DcZiy6gWQOG2IhhM6HBui,"Mi Fiesta","El Big Blue","Bandalos Chinos",2022-05-06,192880,64,false,JulietaS,2026-05-21T15:07:06Z,"indie latino,indie mexicano,alternativa latina","Bandalos Chinos",0.785,0.584,9,-8.589,0,0.0316,0.234,0.000465,0.0545,0.893,104.602,4
