Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:43iIQbw5hx986dUEZbr3eN,"From The Start","Bewitched","Laufey",2023-09-08,169573,88,false,Chen,2026-05-21T15:14:53Z,"","Laufey",0.554,0.339,1,-10.088,1,0.0779,0.886,0.00128,0.11,0.83,80.994,4
spotify:track:3bmpXHVie1GTy37OkXJ7Vc,"2.0","ARIRANG","BTS",2026-03-20,169929,94,false,Chen,2026-05-21T15:14:59Z,"k-pop","BIGHIT MUSIC",0.929,0.542,0,-4.395,1,0.0522,0.018,0.00000692,0.175,0.27,130.026,4
spotify:track:1j15Ar0qGDzIR0v3CQv3JL,"Gnarly","Gnarly","KATSEYE",2025-04-30,137316,87,true,Chen,2026-05-21T15:15:07Z,"k-pop","HYBE/Geffen",0.775,0.828,0,-5.191,0,0.373,0.153,0,0.13,0.663,135.021,4
spotify:track:0NrObqc8nK1XcDNPJNBKRV,"UNDEFEATED","UNDEFEATED","XG;VALORANT",2024-04-12,173105,57,false,Chen,2026-05-21T15:15:14Z,"k-pop","XGALX",0.798,0.69,1,-4.166,1,0.156,0.0606,0,0.107,0.537,160.977,4
spotify:track:7pT6WSg4PCt4mr5ZFyUfsF,"If We Have Each Other","Narrated For You","Alec Benjamin",2018-11-16,181522,78,false,Chen,2026-05-21T15:15:22Z,"","2018",0.656,0.577,10,-5.566,0,0.0802,0.698,0,0.296,0.861,173.094,4
spotify:track:2xVcCDRgG3TrH69TatsUxp,"Cupido","Cupido","TINI",2023-02-14,174369,65,false,Chen,2026-05-21T15:15:28Z,"pop latino","5020 Records",0.913,0.584,9,-5.263,1,0.223,0.521,0.0000536,0.307,0.627,119.873,4
spotify:track:39LLxExYz6ewLAcYrzQQyP,"Levitating","Future Nostalgia","Dua Lipa",2020-03-27,203807,83,false,Chen,2026-05-21T15:15:33Z,"pop","Warner Records",0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
spotify:track:6e5UOAU8hWJq7FKbHGPp2y,"Under / Over","minor","Gracie Abrams",2020-07-14,141826,56,false,Chen,2026-05-21T15:15:38Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.776,0.453,11,-8.36,1,0.136,0.77,0.0000613,0.126,0.562,158,4
spotify:track:3qT67cZ6ZloAk6jDgG1Zc8,"Every Rule","CRASH","Charli xcx",2022-03-18,183120,42,false,Chen,2026-05-21T15:15:43Z,"hyperpop,art pop","Atlantic Records",0.714,0.521,7,-7.384,1,0.033,0.519,0.00000232,0.117,0.336,91.957,4
spotify:track:3BuaksAZoXoIr8NoxAsIOO,"Tweak","Tweak","GIRLSET",2026-03-06,148704,71,false,Chen,2026-05-21T15:15:48Z,"","A2K-VCHA",0.547,0.725,5,-4.946,1,0.07,0.0438,0,0.176,0.438,152.922,4
spotify:track:09QfIIP4NUx4A3thmovb2o,"Perfecta","El Templo del Pop","Miranda!",2008-04-01,225413,80,true,Chen,2026-05-21T15:15:52Z,"pop latino","Pelo Music S.A.",0.648,0.727,0,-5.45,1,0.0361,0.178,0,0.335,0.839,169.941,4
spotify:track:7AJ4RXkc0JWZqeQqzymSjv,"Travesuras","Travesuras","Nicky Jam",2014-01-27,195369,72,false,Chen,2026-05-21T15:15:58Z,"reggaetón,Música latina","Nicky Jam",0.787,0.791,1,-5.607,1,0.0599,0.146,0,0.106,0.887,93.995,4
spotify:track:4VrWlk8IQxevMvERoX08iC,"Chandelier","1000 Forms Of Fear","Sia",2014-07-04,216120,84,false,Chen,2026-05-21T15:16:17Z,"","Monkey Puzzle Records/RCA Records",0.399,0.787,1,-2.88,1,0.0499,0.0197,0.0000607,0.0685,0.572,117.089,5
spotify:track:1DIBkKqsREnKgxpZ5RJjRf,"Potra","Nafta","NAFTA",2019-10-18,257898,55,false,Chen,2026-05-21T15:16:28Z,"","NAFTA",0.481,0.649,0,-9.431,1,0.0483,0.131,0.0598,0.129,0.496,88.302,4
spotify:track:6dgUya35uo964z7GZXM07g,"Nonsense","emails i can't send","Sabrina Carpenter",2022-07-15,163648,85,false,Chen,2026-05-21T15:16:35Z,"pop","Island Records",0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,4
